channel_id,train_time,train_cpu,train_mem,train_epochs,eval_loss,predict_time,predict_cpu,predict_mem,test_loss,detect_time,detect_cpu,detect_mem,n_anomalies,n_detected,true_positives,false_positives,false_negatives,precision,recall,f1
T-1,39.36869430541992,49.855279898218804,1008466488.0203557,14,0.003348722989257011,0.08906054496765137,38.9375,959946752.0,0.01951558,0.1898655891418457,31.54375,962043904.0,2,3,1,2,1,0.3333333333333333,0.5,0.4
T-2,76.81409573554993,49.97299281984333,1024183838.7467369,18,0.0017483927917459772,0.14143085479736328,47.224999999999994,944197632.0,0.025829617,0.2320089340209961,17.34166666666667,944197632.0,1,7,0,7,1,0.0,0.0,0.0
T-3,32.99110221862793,49.888715805471136,1021849102.006079,6,0.00024537280357132357,0.18780875205993652,48.8625,939515904.0,0.014526143,0.14171361923217773,31.03125,939515904.0,2,0,0,0,2,1.0,0.0,0.0
G-1,44.37951993942261,49.94142212189616,1012773381.7787814,15,0.02859551687207487,0.06934309005737305,37.4625,949780480.0,0.009347878,0.16944169998168945,27.2125,949780480.0,1,3,1,2,0,0.3333333333333333,1.0,0.5
G-2,127.64825773239136,49.989534198113255,997441977.1572334,35,6.717331655993673e-08,0.11266064643859863,48.73125,804483072.0,0.014761424,0.1239778995513916,13.006250000000001,804483072.0,1,0,0,0,1,1.0,0.0,0.0
G-3,81.62645244598389,49.96830466830462,879045317.5036854,16,0.012063236183166737,0.1707625389099121,47.181250000000006,797618176.0,0.01637023,0.11763811111450195,26.6875,797618176.0,1,0,0,0,1,1.0,0.0,0.0
G-4,43.19025635719299,49.914559164733156,879661863.7958239,7,7.625549051226699e-05,0.2172102928161621,48.637499999999996,794337280.0,0.015554379,0.15628695487976074,13.575,794337280.0,1,1,0,1,1,0.0,0.0,0.0
G-6,157.63713908195496,50.00517186505409,899680551.9236141,19,1.5617696792307673e-05,0.30672764778137207,49.6,796467200.0,0.024861198,0.1805260181427002,10.506250000000001,796467200.0,1,1,1,0,0,1.0,1.0,1.0
G-7,48.585477352142334,49.94716494845357,901978800.2969072,6,0.035417293891701514,0.3452188968658447,48.606249999999996,790958080.0,0.044600032,0.26103758811950684,17.7375,790958080.0,3,3,3,0,0,1.0,1.0,1.0
R-1,106.5964424610138,49.99235653809974,869263396.6058329,35,7.436382898351468e-09,0.05802512168884277,37.2125,822337536.0,0.015761362,0.12433791160583496,24.08125,822337536.0,1,0,0,0,1,1.0,0.0,0.0
B-1,88.70031261444092,49.979425904977376,868000323.1855203,35,6.8755103832529585e-09,0.07168722152709961,46.7875,791740416.0,1.4250761,0.1199181079864502,27.775,791740416.0,1,1,1,0,0,1.0,1.0,1.0
A-1,33.60613679885864,49.896902985074625,869733220.107463,11,1.4606341065043833e-07,0.07389330863952637,48.175,824242176.0,0.014636646,0.15021491050720215,27.73125,824242176.0,1,1,1,0,0,1.0,1.0,1.0
A-2,27.622247457504272,49.86567028985505,875396125.6811588,7,0.028738206950947642,0.11893057823181152,45.71875,834736128.0,0.040152498,0.19924545288085938,14.212499999999999,834736128.0,1,1,1,0,0,1.0,1.0,1.0
A-3,57.98847985267639,49.94554498269893,891737056.1107261,11,0.015570344985462725,0.183502197265625,49.04375,853057536.0,0.018179443,0.15006685256958008,30.39375,782368768.0,1,1,1,0,0,1.0,1.0,1.0
A-4,81.92420506477356,49.9767135862913,897091375.9412495,13,0.023674451746046543,0.2285151481628418,48.4,851525632.0,0.021379156,0.20839905738830566,15.304166666666665,851525632.0,1,1,1,0,0,1.0,1.0,1.0
A-5,14.368001699447632,49.68611111111112,895116600.8888886,10,0.0001900340139400214,0.1749570369720459,43.375,819310592.0,0.8710324,0.04895377159118652,42.1,819310592.0,1,1,1,0,0,1.0,1.0,1.0
A-6,27.80117130279541,49.87441335740073,914644415.3068589,18,0.004529604979325086,0.18491554260253906,49.5,811683840.0,0.035806887,0.0872197151184082,48.4625,811683840.0,1,1,1,0,0,1.0,1.0,1.0
A-7,305.66878843307495,50.01925697865353,914165912.0026269,29,0.006006671167496178,0.42002320289611816,49.8125,800714752.0,0.017372051,0.19055676460266113,14.28125,800845824.0,1,4,1,0,0,1.0,1.0,1.0
A-8,39.44529747962952,49.93220177664977,921823325.5634513,17,0.008656329242512584,0.4632716178894043,47.785,859680768.0,0.21450996,0.10299062728881836,24.19375,859680768.0,1,3,1,0,0,1.0,1.0,1.0
A-9,30.031328439712524,49.87170833333331,982489675.0933335,13,0.05518803186714649,0.5215675830841064,48.21875000000001,869126144.0,1.1077149,0.12345504760742188,14.23125,869126144.0,1,1,1,0,0,1.0,1.0,1.0
F-1,105.30422377586365,49.966130952381,916108960.9142865,35,0.013281518541690376,0.06933045387268066,38.6625,869306368.0,0.054945804,0.1163337230682373,26.575,869306368.0,1,1,0,1,1,0.0,0.0,0.0
F-2,47.05907320976257,49.92878464818764,913658545.9445627,11,0.028216452855202887,0.12883949279785156,49.71875,869552128.0,0.022943316,0.16888928413391113,16.11875,869552128.0,1,1,1,0,0,1.0,1.0,1.0
F-3,77.76034688949585,49.977983870967726,909158127.8141931,14,1.360773573348221e-05,0.17926692962646484,48.89375,869679104.0,0.009382431,0.19198918342590332,29.78125,869679104.0,1,11,0,11,1,0.0,0.0,0.0
P-1,56.211259603500366,49.96337053571423,917141599.0857142,19,0.027321786516242556,0.06559395790100098,50.025,869384192.0,0.029994413,0.17844128608703613,25.9125,869515264.0,3,1,1,0,2,1.0,0.3333333333333333,0.5
P-2,33.030930519104004,49.902462121212125,912953108.1696972,8,0.0007782134214519627,0.1203145980834961,45.51875,869597184.0,0.1473799,0.15184831619262695,14.787500000000001,869597184.0,1,1,1,0,0,1.0,1.0,1.0
P-3,130.20279693603516,49.99921995377505,907446417.158706,24,0.008313006980137693,0.1955580711364746,46.34375,869711872.0,0.026221141,0.12902426719665527,32.93125,869711872.0,1,2,1,0,0,1.0,1.0,1.0
P-4,210.83738446235657,50.00724059971451,918931269.8181813,35,1.6143345060726233e-07,0.22131729125976562,49.208333333333336,881688576.0,0.023184678,0.17428064346313477,14.212499999999999,881688576.0,3,3,3,0,0,1.0,1.0,1.0
P-7,195.52786326408386,50.01253206772705,929713919.6059513,25,0.003840985190537241,0.2839944362640381,48.025000000000006,892018688.0,0.009541389,0.10383772850036621,30.4375,892018688.0,1,2,1,0,0,1.0,1.0,1.0
